scheme,hex,rgb,hsl
frost,5E81AC,"rgb(94, 129, 172)","hsl(213, 32%, 52%)"
frost,A1B5CE,"rgb(161, 181, 206)","hsl(213, 32%, 72%)"
moss,587E75,"rgb(88, 126, 117)","hsl(166, 18%, 42%)"
moss,8DB0A7,"rgb(141, 176, 167)","hsl(166, 18%, 62%)"
nordic,15181E,"rgb(21, 24, 30)","hsl(220, 16%, 10%)"
nordic,1C1F26,"rgb(28, 31, 38)","hsl(220, 16%, 13%)"
nordic,5C687F,"rgb(92, 104, 127)","hsl(220, 16%, 43%)"
nordic,B7C2D7,"rgb(183, 194, 215)","hsl(219, 28%, 78%)"
nordic,E5E9F0,"rgb(229, 233, 240)","hsl(219, 28%, 92%)"
dark,191919,"rgb(25, 25, 25)","hsl(0, 0%, 10%)"
dark,202020,"rgb(32, 32, 32)","hsl(0, 0%, 13%)"
dark,6E6E6E,"rgb(110, 110, 110)","hsl(0, 0%, 43%)"
dark,C7C7C7,"rgb(199, 199, 199)","hsl(0, 0%, 78%)"
dark,EBEBEB,"rgb(235, 235, 235)","hsl(0, 0%, 92%)"
mocha,14141F,"rgb(20, 20, 31)","hsl(240, 21%, 10%)"
mocha,1A1A28,"rgb(26, 26, 40)","hsl(240, 21%, 13%)"
mocha,575785,"rgb(87, 87, 133)","hsl(240, 21%, 43%)"
mocha,A3B4EB,"rgb(163, 180, 235)","hsl(226, 64%, 78%)"
mocha,DEE4F8,"rgb(222, 228, 248)","hsl(226, 64%, 92%)"
tokyo,15151E,"rgb(21, 21, 30)","hsl(235, 19%, 10%)"
tokyo,1A1B26,"rgb(27, 28, 39)","hsl(235, 19%, 13%)"
tokyo,595C82,"rgb(89, 92, 130)","hsl(235, 19%, 43%)"
tokyo,B3BADB,"rgb(179, 186, 219)","hsl(229, 35%, 78%)"
tokyo,E3E6F2,"rgb(227, 230, 242)","hsl(229, 35%, 92%)"
